Loan Name;Account ID;Account Holder Name;Account State;Loan Amount;Principal Due;Total Due;Total Paid;Days In Arrears;Interest from Arrears Balance;Interest from Arrears Due;Interest from Arrears Paid;Days Late;Product;Product Category;Created;Last Modified;Closed Date
Agriculture Loan;L00057;Martim Leitao Reis;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;24-03-2021 12:00:29;06-12-2022 17:45:27;
Personal Loan;L00062;گلشن Chinwenma;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Personal Loan;;24-03-2021 12:01:44;06-12-2022 17:45:44;
Retail Mortgage;MRTG-RET-SGGJ525;James Theodore White;Closed;40000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;25-03-2021 12:53:59;07-04-2021 13:19:52;07-04-2021 13:19:53
Retail Mortgage;MRTG-RET-TTWH690;James Theodore White;Closed;150000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;26-03-2021 08:24:52;07-04-2021 13:20:25;07-04-2021 13:20:26
Fishermen Group Loan;IYKD177;Diogo Miguel Dias;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;04-03-2021 10:22:55;06-12-2022 17:45:29;
PERSONAL LOAN_JR DEMO;STFA772;Joana  Ramalho;In Arrears;10000,00;10000,00;10041,65;0,00;295,00;0,00;0,00;0,00;337,00;PERSONAL LOAN_JR DEMO;PERSONAL_LENDING;04-08-2022 11:13:45;06-12-2022 17:45:36;
JR MORTGAGE PRODUCT;DSXW875;Joana  Ramalho;Approved;80000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;JR MORTGAGE PRODUCT;RETAIL_MORTGAGES;04-08-2022 11:37:24;06-12-2022 17:45:36;
Capitalized Fee test;MLIC869;João Silva;Closed;1000,00;0,00;0,00;1084,50;0,00;0,00;0,00;0,00;0,00;Capitalized Fee test;;29-05-2020 15:39:18;29-05-2020 15:42:37;29-05-2020 15:42:38
Agriculture Loan;DAQB234;client test_1;Closed;950,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;16-09-2022 02:40:41;16-09-2022 02:42:31;16-09-2022 02:42:32
Austrian Loan;THER114;client test_1;Closed;500000,00;0,00;0,00;500000,00;0,00;0,00;0,00;0,00;0,00;Austrian Loan;PERSONAL_LENDING;16-09-2022 02:45:06;16-09-2022 02:46:44;16-09-2022 02:46:45
smeloan45;WRBX556;EmpresaAngelina;Pending Approval;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;smeloan45;PERSONAL_LENDING;19-02-2023 20:41:09;28-02-2023 16:52:04;
Agriculture Loan;RILV094;Eduardo Godinho RD;Approved;950,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;21-04-2022 16:15:48;06-12-2022 17:45:31;
TesteLoan;KGSN451;Maria Pinto;In Arrears;500,10;500,10;500,10;0,00;48,00;0,00;0,00;0,00;48,00;TesteLoan;PERSONAL_LENDING;19-06-2023 10:30:51;22-06-2023 05:56:33;
Golden Bullet Loan​;PMWH301;Maria Pinto;Closed (Written Off);100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Golden Bullet Loan​;SME_LENDING;19-06-2023 11:09:50;19-06-2023 11:23:24;19-06-2023 11:23:24
Golden Bullet Loan​;PXUA158;Maria Pinto;Closed;350,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Golden Bullet Loan​;SME_LENDING;19-06-2023 11:23:44;19-06-2023 11:31:18;19-06-2023 11:31:18
Agriculture Loan;L00001;Maria Graca Cardoso;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;22-02-2021 10:50:44;06-12-2022 17:45:31;
Agriculture Loan;L00005;Maria Graca Cardoso;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;22-02-2021 11:17:43;06-12-2022 17:45:32;
Agriculture Loan;L00006;Martim Leitao Reis;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;22-02-2021 11:17:43;06-12-2022 17:45:32;
AAAA;VBWK900;John Doe;Closed;50000,00;0,00;0,00;15243,00;0,00;0,00;0,00;0,00;0,00;AAAA;PERSONAL_LENDING;20-01-2022 10:13:05;20-01-2022 10:26:08;20-01-2022 10:26:08
AAAA;QWUL779;John Doe;In Arrears;41257,00;22660,64;23430,72;15000,00;326,00;0,00;0,00;0,00;333,00;AAAA;PERSONAL_LENDING;20-01-2022 10:26:08;06-12-2022 17:45:34;
BNPL - KTB;WMKI530;Client Nuno Faria;In Arrears;10000,00;2873,87;5146,20;3,01;75,00;48,79;48,79;0,00;78,00;BNPL - KTB;PERSONAL_LENDING;21-04-2023 11:12:56;08-08-2023 04:40:17;
BNPL - KTB;BWAL080;Client Nuno Faria;In Arrears;1000,00;1000,00;1000,28;0,00;102,00;0,00;0,00;0,00;102,00;BNPL - KTB;PERSONAL_LENDING;21-04-2023 11:54:23;29-04-2023 00:30:59;
BNPL - KTB;MKSC438;Client Nuno Faria;In Arrears;10000,00;8999,00;8999,00;1006,00;95,00;0,00;0,00;0,00;95,00;BNPL - KTB;PERSONAL_LENDING;21-04-2023 11:56:09;06-05-2023 00:24:02;
SO Bank BNPL ;853016638;Ariel Mermaid;Approved;1500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL ;PERSONAL_LENDING;06-03-2023 11:38:45;06-03-2023 11:38:49;
SO Mortgage Account EURIBOR  - EUR v2;449993895;Carol Amandino;Active;60000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account EURIBOR  - EUR v2;RETAIL_MORTGAGES;26-07-2023 10:54:35;26-07-2023 10:55:06;
Retail Mortgage;MRTG-RET-BAYJ637;James Theodore White;Pending Approval;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;21-02-2022 14:49:05;06-12-2022 17:45:39;
Retail Mortgage;MRTG-RET-YQYV441;James Theodore White;Pending Approval;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;21-02-2022 14:52:13;06-12-2022 17:45:39;
Agriculture Loan;YXBS144;Client Nuno Faria;In Arrears;950,00;950,00;1026,35;0,00;1159,00;0,00;0,00;0,00;1159,00;Agriculture Loan;UNCATEGORIZED;25-04-2021 15:33:22;06-12-2022 17:45:28;
Bullet Index;Random0001;Client Nuno Faria;Approved;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Bullet Index;PERSONAL_LENDING;25-04-2021 15:35:36;06-12-2022 17:45:27;
Buy Now Pay Later;MARKETBANK-123452;Pedro3 Gomes3;Approved;1000,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;09-06-2022 12:37:22;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-212;Pedro3 Gomes3;Approved;1000,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;09-06-2022 14:18:46;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-133273;Pedro Albano;In Arrears;69,99;69,99;69,99;0,00;393,00;0,00;0,00;0,00;393,00;Buy Now Pay Later;PERSONAL_LENDING;09-06-2022 15:12:45;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-175450;Gil Pinto;Closed;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;09-06-2022 17:13:52;22-06-2022 16:23:26;22-06-2022 16:23:27
Term Loan - Test;110462016;Client_Luís Ferreira;In Arrears;1500,00;1394,53;1463,30;107,00;105,00;21,13;21,13;0,00;110,00;SO Term Loan - EUR;PERSONAL_LENDING;20-03-2023 17:10:02;20-06-2023 02:49:38;
Agriculture Loan;MHWB121;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-07-2021 12:15:48;06-12-2022 17:45:29;
Agriculture Loan;ORHY924;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-07-2021 12:33:10;06-12-2022 17:45:29;
Agriculture Loan;YTON530;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-07-2021 12:38:53;06-12-2022 17:45:29;
Agriculture Loan;DHNU706;Afonso Carvalho Pereira;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-07-2021 14:20:17;06-12-2022 17:45:29;
Agriculture Loan;XTMY555;Afonso Carvalho Pereira;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-07-2021 15:14:26;06-12-2022 17:45:29;
Agriculture Loan;CFAG665;Afonso Carvalho Pereira;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-07-2021 15:35:00;06-12-2022 17:45:29;
Agriculture Loan;JZOF847;Afonso Carvalho Pereira;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-07-2021 15:36:20;06-12-2022 17:45:29;
Agriculture Loan;GGFQ921;Afonso Carvalho Pereira;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-07-2021 15:42:03;06-12-2022 17:45:30;
SO Bank BNPL ;823314057;Ariel Mermaid;Approved;1500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL ;PERSONAL_LENDING;06-03-2023 13:57:27;06-03-2023 13:57:29;
Retail Mortgage;MRTG-RET-EPOQ846;James Theodore White;Pending Approval;130000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;22-04-2021 11:00:18;06-12-2022 17:45:38;
Capitalized Fee test;L024;Andre Drumond Mateus;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Capitalized Fee test;;07-04-2021 15:43:03;06-12-2022 17:45:23;
Fishermen Group Loan;L028;Martim Leitao Reis;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;07-04-2021 15:43:21;06-12-2022 17:45:31;
Capitalized Fee test;L031;Andre Drumond Mateus;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Capitalized Fee test;;07-04-2021 17:08:13;06-12-2022 17:45:23;
Credit Card PT;L033;Pedro Miguel Marquez;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;07-04-2021 17:08:31;06-12-2022 17:45:31;
Student Loan;L032;Martim Leitao Reis;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Student Loan;;07-04-2021 17:08:56;06-12-2022 17:45:41;
Agriculture Loan;HEPV736;Lukas Test;In Arrears;950,00;950,00;1026,35;0,00;837,00;0,00;0,00;0,00;837,00;Agriculture Loan;UNCATEGORIZED;21-04-2021 17:42:11;06-12-2022 17:45:28;
Agriculture Loan;AERA904;Lukas demo Schmidt;In Arrears;1150,00;1150,00;1242,40;0,00;809,00;0,00;0,00;0,00;809,00;Agriculture Loan;UNCATEGORIZED;21-04-2021 17:56:30;06-12-2022 17:45:28;
Tranched #2 CA;RRZG463;Labs & Strategy SA;In Arrears;10000,00;10000,00;10006,67;0,00;197,00;3,00;3,00;0,00;200,00;SME Tranched Loan;SME_LENDING;18-01-2023 11:29:10;19-05-2023 02:21:26;
Golden Bullet Loan​;VNZS613;Teste Empresa;Active;10000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Golden Bullet Loan​;SME_LENDING;16-06-2023 16:11:52;16-06-2023 16:13:22;
Agriculture Loan;L00021;Maria Graca Cardoso;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;22-02-2021 16:22:00;06-12-2022 17:45:34;
Agriculture Loan;L00022;Martim Leitao Reis;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;22-02-2021 16:22:05;06-12-2022 17:45:19;
Agriculture Loan;L00025;Maria Graca Cardoso;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;22-02-2021 17:13:52;06-12-2022 17:45:20;
Agriculture Loan;L00027;Pedro Miguel Marquez;Approved;800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;22-02-2021 17:13:53;06-12-2022 17:45:21;
SO Mortgage Account - EUR;438380870;Angelina Jolie;Approved;10000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;28-02-2023 09:50:39;28-02-2023 09:50:39;
SO Mortgage Account - EUR;489014202;BHARATHI N;In Arrears;10000,00;6000,11;6021,36;4029,04;123,00;0,00;0,00;0,00;123,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;28-02-2023 10:27:21;08-04-2023 00:39:49;
BNPL - Dynamic;MARKETBANK-261944;Joud  Zaumot;Closed;39,99;0,00;0,00;39,99;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 17:30:19;27-06-2022 03:05:38;27-06-2022 03:05:38
BNPL - Dynamic;MARKETBANK-927740;Joud  Zaumot;Closed;79,99;0,00;0,00;79,99;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;27-06-2022 03:24:05;27-06-2022 03:27:05;27-06-2022 03:27:05
Term Credit - (very) Long Term ;OKNN140;Teste Empresa;Approved;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 16:40:21;15-06-2023 16:40:22;
Term Credit - (very) Long Term ;OQHI436;Teste Empresa;Approved;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 16:48:33;16-06-2023 11:09:07;
Term Loan WUBS AT EUR 3M+;L4337500797;Company_;Closed (Written Off);1000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Loan WUBS AT EUR 3M+;COMMERCIAL;14-09-2021 14:53:41;14-09-2021 14:54:44;14-09-2021 14:54:44
Term Loan WUBS AT EUR 3M+;L9123036468;Company_;Closed (Written Off);1000000,00;0,00;0,00;223382,49;0,00;0,00;0,00;7,60;0,00;Term Loan WUBS AT EUR 3M+;COMMERCIAL;14-09-2021 14:55:23;17-09-2021 16:10:29;17-09-2021 16:10:30
Agriculture Loan;L00033;Maria Graca Cardoso;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;23-02-2021 13:49:44;06-12-2022 17:45:23;
Agriculture Loan;L00034;Martim Leitao Reis;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;23-02-2021 13:49:47;06-12-2022 17:45:23;
Agriculture Loan;L00036;Andre Drumond Mateus;Approved;900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;23-02-2021 13:49:52;06-12-2022 17:45:23;
Agriculture Loan;L00037;Maria Graca Cardoso;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;23-02-2021 14:16:36;06-12-2022 17:45:23;
Agriculture Loan;L00038;Martim Leitao Reis;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;23-02-2021 14:16:37;06-12-2022 17:45:23;
Agriculture Loan;L00040;Andre Drumond Mateus;Approved;900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;23-02-2021 14:16:38;06-12-2022 17:45:24;
Agriculture Loan;MGDJ801;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;15-02-2021 11:09:17;06-12-2022 17:45:27;
TesteLoanDyn;VLGV592;Maria Pinto;In Arrears;100,00;45,45;47,46;0,00;49,00;0,31;0,31;0,00;49,00;TesteLoanDyn;PERSONAL_LENDING;12-06-2023 15:08:04;03-08-2023 05:16:26;
Term Credit - (very) Long Term;PMPJ777;Maria Pinto;In Arrears;2222,00;599,18;1088,02;0,00;25,00;0,00;0,00;0,00;27,00;Term Credit - (very) Long Term;SME_LENDING;12-06-2023 17:03:46;15-07-2023 00:44:02;
Fishermen Group Loan;CCWH328;Diogo Miguel Dias;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Student Loan;;03-03-2021 10:59:06;06-12-2022 17:45:41;
Fishermen Group Loan;JJPB180;Diogo Miguel Dias;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Personal Loan;;03-03-2021 11:16:31;06-12-2022 17:45:43;
test;GWSA274;Filipe Eusébio;In Arrears;2000,00;1605,00;1629,00;406,00;265,00;0,00;0,00;0,00;267,00;test;PERSONAL_LENDING;04-11-2022 15:55:13;06-12-2022 17:45:24;
TesteLoan;VBWZ330;Maria Pinto;Closed;1200,00;0,00;0,00;600,00;0,00;0,00;0,00;0,00;0,00;TesteLoan;PERSONAL_LENDING;04-05-2023 11:04:20;15-06-2023 14:06:52;15-06-2023 14:06:52
Personal Loan;NYYX615;James Theodore White;Closed;2000,00;0,00;0,00;2100,54;0,00;0,00;0,00;3,20;0,00;Personal Loan;;15-02-2021 16:45:59;22-04-2021 11:02:51;22-04-2021 11:02:51
BNPL - KTB (Copy);YNNQ194;Maria Pinto;Active;10000,00;0,00;0,00;1,11;0,00;0,00;0,00;0,00;0,00;BNPL - KTB (Copy);PERSONAL_LENDING;05-05-2023 16:53:22;30-05-2023 13:40:31;
BNPL - KTB;AJCJ366;Client Nuno Faria;In Arrears;100000,00;100000,00;1335092,47;0,00;84,00;1348,84;1348,84;0,00;88,00;BNPL - KTB;PERSONAL_LENDING;05-05-2023 17:03:09;08-08-2023 04:40:25;
Personal Loan;L027;Andre Drumond Mateus;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Personal Loan;;07-04-2021 15:43:32;06-12-2022 17:45:45;
SO Mortgage Account - EUR;497662731;BHARATHI N;Approved;9999,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;25-03-2023 18:44:22;25-03-2023 18:44:23;
SO Mortgage Account - EUR;434064875;BHARATHI N;Approved;10000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;25-03-2023 18:45:45;25-03-2023 18:45:45;
Term Credit - (very) Long Term ;NGQM212;Carol Amandino;Approved;1500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;13-06-2023 10:01:37;13-06-2023 10:01:38;
BNPL - Dynamic;MARKETBANK-62ac4ecf515da;Pedro3 Gomes3;Approved;180,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;17-06-2022 10:52:15;06-12-2022 17:45:20;
BNPL - Dynamic;MARKETBANK-62ac5ae835c10;Pedro3 Gomes3;Approved;180,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;17-06-2022 11:43:49;06-12-2022 17:45:21;
Agriculture Loan;CHYC170;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;17-02-2021 09:26:44;06-12-2022 17:45:27;
Agriculture Loan;QCUH244;Uros غلامرضایی;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;17-02-2021 11:49:44;06-12-2022 17:45:28;
Agriculture Loan;FQLM848;Okeke Jerebinšek;Approved;900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;17-02-2021 11:49:45;06-12-2022 17:45:28;
Retail Mortgage;MRTG-RET-YSTM489;James Theodore White;Closed;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;22-03-2021 19:56:24;22-03-2021 19:57:23;22-03-2021 19:57:24
Retail Mortgage;MRTG-RET-KNMG637;James Theodore White;Closed;150000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;23-03-2021 13:15:11;26-03-2021 13:50:47;26-03-2021 13:50:48
Credit Card PT;L00061;Martim Leitao Reis;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;24-03-2021 12:01:15;06-12-2022 17:45:29;
Student Loan;L00060;گلشن Chinwenma;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Student Loan;;24-03-2021 12:01:59;06-12-2022 17:45:41;
Retail Mortgage;MRTG-RET-PRVT106;James Theodore White;Closed;150000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;25-03-2021 14:55:54;26-03-2021 13:50:56;26-03-2021 13:50:56
Agriculture Loan;BVCW502;Marisa  Faria Nascimento;Closed;950,00;0,00;0,00;1000,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;14-02-2022 12:02:40;21-03-2022 09:55:08;21-03-2022 09:55:08
OffSetFull teste;HMPB190;Maria Pinto;In Arrears;500,00;0,00;0,00;300,29;12,00;0,00;0,00;0,00;12,00;OffSetFull;PERSONAL_LENDING;07-07-2023 14:59:09;07-08-2023 08:10:45;
OffSetFull DIsbur;BTYJ450;Maria Pinto;In Arrears;500,00;0,00;0,00;149,95;12,00;0,00;0,00;0,00;12,00;OffSetFull;PERSONAL_LENDING;07-07-2023 15:06:55;07-08-2023 08:10:50;
Construction Loan;L050;Andre Drumond Mateus;Pending Approval;13111751500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Construction Loan;COMMERCIAL;09-04-2021 18:26:32;06-12-2022 17:45:37;
Fishermen Group Loan;L056;Andre Drumond Mateus;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;09-04-2021 18:27:42;06-12-2022 17:45:32;
Personal Loan;L055;Pedro Miguel Marquez;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Personal Loan;;09-04-2021 18:27:58;06-12-2022 17:45:20;
Student Loan;L053;Andre Drumond Mateus;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Student Loan;;09-04-2021 18:28:04;06-12-2022 17:45:42;
Corporate Lending;HMJE093;EmpresaAngelina;Pending Approval;10000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Corporate Lending;SME_LENDING;03-03-2023 15:28:07;03-03-2023 15:28:07;
BNPL - Dynamic;MARKETBANK-62ac4f8723a24;Pedro3 Gomes3;Approved;180,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;17-06-2022 10:55:19;06-12-2022 17:45:20;
Retail Mortgage;MRTG-RET-CXEN926;Client Nuno Faria;Approved;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;22-03-2021 18:28:41;06-12-2022 17:45:37;
Retail Mortgage;MRTG-RET-IHUZ528;James Theodore White;Closed;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;22-03-2021 18:30:28;22-03-2021 18:31:42;22-03-2021 18:31:42
Retail Mortgage;MRTG-RET-DCDC884;James Theodore White;Closed;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;22-03-2021 18:31:08;22-03-2021 18:31:35;22-03-2021 18:31:36
SO Mortgage Account - EUR;410664290;BHARATHI N;In Arrears;6000,00;4000,00;4015,16;2014,00;123,00;0,00;0,00;0,00;123,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;28-02-2023 13:24:43;08-04-2023 00:39:27;
Personal Loan;YXJY650;Maria Graca Cardoso;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Personal Loan;;04-03-2021 19:11:00;06-12-2022 17:45:43;
SO Bank BNPL ;816637441;Ariel Mermaid;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL ;PERSONAL_LENDING;07-03-2023 10:57:40;07-03-2023 10:57:42;
Buy Now Pay Later;MARKETBANK-441171;Gil Pinto;Closed;69,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;13-06-2022 13:14:36;22-06-2022 16:23:54;22-06-2022 16:23:54
BNPL - Dynamic Test;QINQ617;Beatriz Toscano;Approved;1500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;31-01-2023 11:52:34;01-02-2023 18:38:05;
Fishermen Group Loan;NZBD915;Diogo Miguel Dias;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;03-03-2021 12:12:29;06-12-2022 17:45:29;
Agriculture Loan;XJXY135;Isabel Anjos Pinto;In Arrears;950,00;695,81;726,35;300,00;986,00;0,00;0,00;0,00;986,00;Agriculture Loan;UNCATEGORIZED;22-09-2020 16:58:14;06-12-2022 17:45:24;
BNPL;MWRC171;Angelina Jolie;Approved;1500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL;PERSONAL_LENDING;03-04-2023 15:33:35;03-04-2023 15:33:36;
NF API Revolving ;QMDE946;Merlurium;Pending Approval;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;NF API Revolving ;PERSONAL_LENDING;12-10-2021 18:28:58;12-10-2021 18:28:58;
WUBS Installments Loan EUR;L7312762959;TM_Industries;Closed;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;WUBS Installments Loan EUR;COMMERCIAL;13-10-2021 11:23:56;13-10-2021 11:50:43;13-10-2021 11:50:44
Term Loan WUBS AT EUR 3M+;L2439482123;TM_Industries;Closed;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Loan WUBS AT EUR 3M+;COMMERCIAL;13-10-2021 12:07:17;13-10-2021 15:18:07;13-10-2021 15:18:08
