Loan Name;Account ID;Account Holder ID;Account Holder Name;Account State;Account Sub-State;Loan Amount;Principal Due;Total Due;Principal Paid;Total Paid;Approval Date;Activation Date;Last Payment Date;Last Modified;Closed Date
Agriculture Loan;YXBS144;299268506;Client Nuno Faria;In Arrears;;950,00;950,00;1026,35;0,00;0,00;25-04-2021 15:33:25;05-05-2020;;06-12-2022 17:45:28;
Bullet Index;Random0001;299268506;Client Nuno Faria;Approved;;100000,00;0,00;0,00;0,00;0,00;17-05-2021 16:08:25;;;06-12-2022 17:45:27;
Buy Now Pay Later;MARKETBANK-123452;810233400;Pedro3 Gomes3;Approved;;1000,89;0,00;0,00;0,00;0,00;09-06-2022 12:37:36;;;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-212;810233400;Pedro3 Gomes3;Approved;;1000,89;0,00;0,00;0,00;0,00;09-06-2022 14:18:47;;;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-133273;MARKETBANK-G62a1eb0b2adb0;Pedro Albano;In Arrears;;69,99;69,99;69,99;0,00;0,00;09-06-2022 15:33:31;09-06-2022;;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-175450;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;09-06-2022 17:52:26;;;22-06-2022 16:23:26;22-06-2022 16:23:27
Term Loan - Test;110462016;009798433;Client_Luís Ferreira;In Arrears;;1500,00;1394,53;1463,30;105,47;107,00;20-03-2023 17:10:04;20-03-2023;22-03-2023 17:21:07;20-06-2023 02:49:38;
Agriculture Loan;MHWB121;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;19-07-2021 12:15:51;;;06-12-2022 17:45:29;
Agriculture Loan;ORHY924;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;19-07-2021 12:33:11;;;06-12-2022 17:45:29;
Agriculture Loan;YTON530;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;19-07-2021 12:38:55;;;06-12-2022 17:45:29;
Agriculture Loan;DHNU706;288724520;Afonso Carvalho Pereira;Approved;;1000,00;0,00;0,00;0,00;0,00;19-07-2021 14:20:18;;;06-12-2022 17:45:29;
Agriculture Loan;XTMY555;288724520;Afonso Carvalho Pereira;Approved;;1000,00;0,00;0,00;0,00;0,00;19-07-2021 15:14:28;;;06-12-2022 17:45:29;
Agriculture Loan;CFAG665;288724520;Afonso Carvalho Pereira;Approved;;1000,00;0,00;0,00;0,00;0,00;19-07-2021 15:35:01;;;06-12-2022 17:45:29;
Agriculture Loan;JZOF847;288724520;Afonso Carvalho Pereira;Approved;;1000,00;0,00;0,00;0,00;0,00;19-07-2021 15:36:21;;;06-12-2022 17:45:29;
Agriculture Loan;GGFQ921;288724520;Afonso Carvalho Pereira;Approved;;1000,00;0,00;0,00;0,00;0,00;19-07-2021 15:42:04;;;06-12-2022 17:45:30;
SO Bank BNPL ;823314057;550185700;Ariel Mermaid;Approved;;1500,00;0,00;0,00;0,00;0,00;06-03-2023 13:57:29;;;06-03-2023 13:57:29;
Retail Mortgage;MRTG-RET-EPOQ846;678220976;James Theodore White;Pending Approval;;130000,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:38;
Capitalized Fee test;L024;C04;Andre Drumond Mateus;Approved;;1145,00;0,00;0,00;0,00;0,00;07-04-2021 15:43:06;;;06-12-2022 17:45:23;
Fishermen Group Loan;L028;C027;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;07-04-2021 15:43:22;;;06-12-2022 17:45:31;
Capitalized Fee test;L031;C04;Andre Drumond Mateus;Approved;;1145,00;0,00;0,00;0,00;0,00;07-04-2021 17:16:48;;;06-12-2022 17:45:23;
Credit Card PT;L033;C07;Pedro Miguel Marquez;Approved;;5000,00;0,00;0,00;0,00;0,00;07-04-2021 17:16:48;;;06-12-2022 17:45:31;
Student Loan;L032;C06;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;07-04-2021 17:16:48;;;06-12-2022 17:45:41;
Agriculture Loan;HEPV736;248903155;Lukas Test;In Arrears;;950,00;950,00;1026,35;0,00;0,00;21-04-2021 17:42:17;20-04-2021;;06-12-2022 17:45:28;
Agriculture Loan;AERA904;900096547;Lukas demo Schmidt;In Arrears;;1150,00;1150,00;1242,40;0,00;0,00;21-04-2021 17:56:32;21-04-2021;;06-12-2022 17:45:28;
Tranched #2 CA;RRZG463;764634219;Labs & Strategy SA;In Arrears;;10000,00;10000,00;10006,67;0,00;0,00;18-01-2023 11:29:15;18-01-2023;;19-05-2023 02:21:26;
Golden Bullet Loan​;VNZS613;288265930;Teste Empresa;Active;;10000,00;0,00;0,00;0,00;0,00;16-06-2023 16:11:53;16-06-2023;;16-06-2023 16:13:22;
Agriculture Loan;L00021;00029;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;22-02-2021 16:22:06;;;06-12-2022 17:45:34;
Agriculture Loan;L00022;00030;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;22-02-2021 16:22:07;;;06-12-2022 17:45:19;
Agriculture Loan;L00025;00033;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;22-02-2021 17:13:53;;;06-12-2022 17:45:20;
Agriculture Loan;L00027;00035;Pedro Miguel Marquez;Approved;;800,00;0,00;0,00;0,00;0,00;22-02-2021 17:13:54;;;06-12-2022 17:45:21;
SO Mortgage Account - EUR;438380870;859605806;Angelina Jolie;Approved;;10000,00;0,00;0,00;0,00;0,00;28-02-2023 09:50:39;;;28-02-2023 09:50:39;
SO Mortgage Account - EUR;489014202;167639416;BHARATHI N;In Arrears;;10000,00;6000,11;6021,36;3999,89;4029,04;28-02-2023 10:27:22;07-02-2023;22-03-2023 00:00:27;08-04-2023 00:39:49;
BNPL - Dynamic;MARKETBANK-261944;881857316;Joud  Zaumot;Closed;;39,99;0,00;0,00;39,99;39,99;24-06-2022 17:30:23;24-06-2022;27-06-2022 03:05:37;27-06-2022 03:05:38;27-06-2022 03:05:38
BNPL - Dynamic;MARKETBANK-927740;881857316;Joud  Zaumot;Closed;;79,99;0,00;0,00;79,99;79,99;27-06-2022 03:24:07;27-06-2022;27-06-2022 03:24:09;27-06-2022 03:27:05;27-06-2022 03:27:05
Term Credit - (very) Long Term ;OKNN140;288265930;Teste Empresa;Approved;;2000,00;0,00;0,00;0,00;0,00;15-06-2023 16:40:22;;;15-06-2023 16:40:22;
Term Credit - (very) Long Term ;OQHI436;288265930;Teste Empresa;Approved;;2000,00;0,00;0,00;0,00;0,00;15-06-2023 16:48:34;;;16-06-2023 11:09:07;
Term Loan WUBS AT EUR 3M+;L4337500797;290863488;Company_;Closed (Written Off);;1000000,00;0,00;0,00;0,00;0,00;14-09-2021 14:53:47;14-09-2021;;14-09-2021 14:54:44;14-09-2021 14:54:44
Term Loan WUBS AT EUR 3M+;L9123036468;290863488;Company_;Closed (Written Off);;1000000,00;0,00;0,00;222222,22;223382,49;14-09-2021 14:55:28;14-09-2021;17-09-2021 15:49:33;17-09-2021 16:10:29;17-09-2021 16:10:30
Agriculture Loan;L00033;00049;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;23-02-2021 13:49:48;;;06-12-2022 17:45:23;
Agriculture Loan;L00034;00050;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;23-02-2021 13:49:48;;;06-12-2022 17:45:23;
Agriculture Loan;L00036;00052;Andre Drumond Mateus;Approved;;900,00;0,00;0,00;0,00;0,00;23-02-2021 13:49:53;;;06-12-2022 17:45:23;
Agriculture Loan;L00037;00053;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;23-02-2021 14:16:38;;;06-12-2022 17:45:23;
Agriculture Loan;L00038;00054;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;23-02-2021 14:16:42;;;06-12-2022 17:45:23;
Agriculture Loan;L00040;00056;Andre Drumond Mateus;Approved;;900,00;0,00;0,00;0,00;0,00;23-02-2021 14:16:42;;;06-12-2022 17:45:24;
Agriculture Loan;MGDJ801;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;15-02-2021 11:09:23;;;06-12-2022 17:45:27;
TesteLoanDyn;VLGV592;769273359;Maria Pinto;In Arrears;;100,00;45,45;47,46;0,00;0,00;12-06-2023 15:08:04;12-06-2023;;03-08-2023 05:16:26;
Term Credit - (very) Long Term;PMPJ777;769273359;Maria Pinto;In Arrears;;2222,00;599,18;1088,02;0,00;0,00;12-06-2023 17:03:47;12-06-2023;;15-07-2023 00:44:02;
Fishermen Group Loan;CCWH328;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;03-03-2021 10:59:09;;;06-12-2022 17:45:41;
Fishermen Group Loan;JJPB180;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;03-03-2021 11:16:33;;;06-12-2022 17:45:43;
test;GWSA274;638213110;Filipe Eusébio;In Arrears;;2000,00;1605,00;1629,00;395,00;406,00;04-11-2022 15:55:15;07-11-2022;07-11-2022 17:43:19;06-12-2022 17:45:24;
TesteLoan;VBWZ330;769273359;Maria Pinto;Closed;Rescheduled;1200,00;0,00;0,00;600,00;600,00;04-05-2023 11:04:21;04-05-2023;30-05-2023 09:23:31;15-06-2023 14:06:52;15-06-2023 14:06:52
Personal Loan;NYYX615;678220976;James Theodore White;Closed;;2000,00;0,00;0,00;2005,00;2100,54;15-02-2021 16:46:03;15-02-2021;22-04-2021 11:02:50;22-04-2021 11:02:51;22-04-2021 11:02:51
BNPL - KTB (Copy);YNNQ194;769273359;Maria Pinto;Active;;10000,00;0,00;0,00;0,00;1,11;05-05-2023 16:53:23;05-05-2023;30-05-2023 13:40:31;30-05-2023 13:40:31;
BNPL - KTB;AJCJ366;299268506;Client Nuno Faria;In Arrears;;100000,00;100000,00;1335092,47;0,00;0,00;05-05-2023 17:03:10;05-05-2023;;08-08-2023 04:40:25;
Personal Loan;L027;C08;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;07-04-2021 15:43:34;;;06-12-2022 17:45:45;
SO Mortgage Account - EUR;497662731;167639416;BHARATHI N;Approved;;9999,00;0,00;0,00;0,00;0,00;25-03-2023 18:44:24;;;25-03-2023 18:44:23;
SO Mortgage Account - EUR;434064875;167639416;BHARATHI N;Approved;;10000,00;0,00;0,00;0,00;0,00;25-03-2023 18:45:46;;;25-03-2023 18:45:45;
Term Credit - (very) Long Term ;NGQM212;243772958;Carol Amandino;Approved;;1500,00;0,00;0,00;0,00;0,00;13-06-2023 10:01:39;;;13-06-2023 10:01:38;
BNPL - Dynamic;MARKETBANK-62ac4ecf515da;810233400;Pedro3 Gomes3;Approved;;180,00;0,00;0,00;0,00;0,00;17-06-2022 10:52:27;;;06-12-2022 17:45:20;
BNPL - Dynamic;MARKETBANK-62ac5ae835c10;810233400;Pedro3 Gomes3;Approved;;180,00;0,00;0,00;0,00;0,00;17-06-2022 11:43:53;;;06-12-2022 17:45:21;
Agriculture Loan;CHYC170;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;17-02-2021 09:26:48;;;06-12-2022 17:45:27;
Agriculture Loan;QCUH244;2;Uros غلامرضایی;Approved;;1145,00;0,00;0,00;0,00;0,00;17-02-2021 11:49:46;;;06-12-2022 17:45:28;
Agriculture Loan;FQLM848;4;Okeke Jerebinšek;Approved;;900,00;0,00;0,00;0,00;0,00;17-02-2021 11:49:47;;;06-12-2022 17:45:28;
Retail Mortgage;MRTG-RET-YSTM489;678220976;James Theodore White;Closed;Withdrawn;100000,00;0,00;0,00;0,00;0,00;22-03-2021 19:56:28;;;22-03-2021 19:57:23;22-03-2021 19:57:24
Retail Mortgage;MRTG-RET-KNMG637;678220976;James Theodore White;Closed;Withdrawn;150000,00;0,00;0,00;0,00;0,00;23-03-2021 13:18:31;;;26-03-2021 13:50:47;26-03-2021 13:50:48
Credit Card PT;L00061;00046;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;24-03-2021 12:01:19;;;06-12-2022 17:45:29;
Student Loan;L00060;0;گلشن Chinwenma;Approved;;5000,00;0,00;0,00;0,00;0,00;24-03-2021 12:02:27;;;06-12-2022 17:45:41;
Retail Mortgage;MRTG-RET-PRVT106;678220976;James Theodore White;Closed;Withdrawn;150000,00;0,00;0,00;0,00;0,00;25-03-2021 14:55:56;;;26-03-2021 13:50:56;26-03-2021 13:50:56
Agriculture Loan;BVCW502;015607240;Marisa  Faria Nascimento;Closed;Refinanced;950,00;0,00;0,00;923,65;1000,00;14-02-2022 12:02:41;14-02-2022;14-02-2022 12:05:01;21-03-2022 09:55:08;21-03-2022 09:55:08
OffSetFull teste;HMPB190;769273359;Maria Pinto;In Arrears;;500,00;0,00;0,00;300,29;300,29;07-07-2023 14:59:15;07-07-2023;07-08-2023 08:10:43;07-08-2023 08:10:45;
OffSetFull DIsbur;BTYJ450;769273359;Maria Pinto;In Arrears;;500,00;0,00;0,00;149,95;149,95;07-07-2023 15:07:02;07-07-2023;07-08-2023 08:10:49;07-08-2023 08:10:50;
Construction Loan;L050;C050;Andre Drumond Mateus;Pending Approval;;13111751500,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:37;
Fishermen Group Loan;L056;C056;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;09-04-2021 18:27:44;;;06-12-2022 17:45:32;
Personal Loan;L055;C055;Pedro Miguel Marquez;Approved;;5000,00;0,00;0,00;0,00;0,00;09-04-2021 18:28:00;;;06-12-2022 17:45:20;
Student Loan;L053;C053;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;09-04-2021 18:28:05;;;06-12-2022 17:45:42;
Corporate Lending;HMJE093;205270106;EmpresaAngelina;Pending Approval;;10000,00;0,00;0,00;0,00;0,00;;;;03-03-2023 15:28:07;
BNPL - Dynamic;MARKETBANK-62ac4f8723a24;810233400;Pedro3 Gomes3;Approved;;180,00;0,00;0,00;0,00;0,00;17-06-2022 10:55:32;;;06-12-2022 17:45:20;
Retail Mortgage;MRTG-RET-CXEN926;299268506;Client Nuno Faria;Approved;;100000,00;0,00;0,00;0,00;0,00;22-03-2021 18:28:44;;;06-12-2022 17:45:37;
Retail Mortgage;MRTG-RET-IHUZ528;678220976;James Theodore White;Closed;Withdrawn;100000,00;0,00;0,00;0,00;0,00;22-03-2021 18:30:29;;;22-03-2021 18:31:42;22-03-2021 18:31:42
Retail Mortgage;MRTG-RET-DCDC884;678220976;James Theodore White;Closed;Withdrawn;100000,00;0,00;0,00;0,00;0,00;22-03-2021 18:31:10;;;22-03-2021 18:31:35;22-03-2021 18:31:36
SO Mortgage Account - EUR;410664290;167639416;BHARATHI N;In Arrears;;6000,00;4000,00;4015,16;2000,00;2014,00;28-02-2023 13:24:51;07-02-2023;21-03-2023 09:03:12;08-04-2023 00:39:27;
Personal Loan;YXJY650;00045;Maria Graca Cardoso;Approved;;5000,00;0,00;0,00;0,00;0,00;04-03-2021 19:11:05;;;06-12-2022 17:45:43;
SO Bank BNPL ;816637441;550185700;Ariel Mermaid;Approved;;1000,00;0,00;0,00;0,00;0,00;07-03-2023 10:57:42;;;07-03-2023 10:57:42;
Buy Now Pay Later;MARKETBANK-441171;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;69,99;0,00;0,00;0,00;0,00;13-06-2022 13:14:40;;;22-06-2022 16:23:54;22-06-2022 16:23:54
BNPL - Dynamic Test;QINQ617;303606211;Beatriz Toscano;Approved;;1500,00;0,00;0,00;0,00;0,00;31-01-2023 11:52:35;;;01-02-2023 18:38:05;
Fishermen Group Loan;NZBD915;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;03-03-2021 12:12:31;;;06-12-2022 17:45:29;
Agriculture Loan;XJXY135;902899545;Isabel Anjos Pinto;In Arrears;;950,00;695,81;726,35;254,19;300,00;22-09-2020 16:58:25;22-09-2020;22-09-2020 17:02:40;06-12-2022 17:45:24;
BNPL;MWRC171;859605806;Angelina Jolie;Approved;;1500,00;0,00;0,00;0,00;0,00;03-04-2023 15:33:36;;;03-04-2023 15:33:36;
NF API Revolving ;QMDE946;158222213;Merlurium;Pending Approval;;100000,00;0,00;0,00;0,00;0,00;;;;12-10-2021 18:28:58;
WUBS Installments Loan EUR;L7312762959;058397330;TM_Industries;Closed;Withdrawn;100000,00;0,00;0,00;0,00;0,00;13-10-2021 11:27:48;;;13-10-2021 11:50:43;13-10-2021 11:50:44
Term Loan WUBS AT EUR 3M+;L2439482123;058397330;TM_Industries;Closed;Withdrawn;100000,00;0,00;0,00;0,00;0,00;13-10-2021 12:07:29;;;13-10-2021 15:18:07;13-10-2021 15:18:08
Term Loan WUBS AT EUR 3M+;L5997115035;158222213;Merlurium;Closed;;50000,00;0,00;0,00;50000,00;50700,00;13-10-2021 12:46:06;13-10-2021;13-10-2021 18:39:27;13-10-2021 18:39:58;13-10-2021 18:39:59
Term Loan WUBS AT EUR 3M+;L7915555488;158222213;Merlurium;Approved;;100000,00;0,00;0,00;0,00;0,00;13-10-2021 13:03:57;;;06-12-2022 17:50:18;
Term Loan WUBS AT EUR 3M+;L7841713643;058397330;TM_Industries;Closed (Written Off);;100000,00;0,00;0,00;10000,00;10000,00;13-10-2021 14:25:52;13-10-2021;13-10-2021 15:10:23;13-10-2021 15:17:54;13-10-2021 15:17:54
Term Loan WUBS AT EUR 3M+;L4934069369;058397330;TM_Industries;Closed (Written Off);;100000,00;0,00;0,00;75000,00;75216,67;13-10-2021 15:19:03;15-09-2021;13-10-2021 15:36:57;13-10-2021 16:30:34;13-10-2021 16:30:34
Term Loan WUBS AT EUR 3M+;L1470328093;158222213;Merlurium;Closed;Rescheduled;100000,00;0,00;0,00;10000,00;10008,33;13-10-2021 15:20:16;12-10-2021;13-10-2021 18:49:25;13-10-2021 19:26:48;13-10-2021 19:26:48
Term Loan WUBS AT EUR 3M+;L7294640118;158222213;Merlurium;Closed;;100000,00;0,00;0,00;100000,00;100099,99;13-10-2021 15:33:02;04-10-2021;13-10-2021 18:48:33;13-10-2021 18:54:42;13-10-2021 18:54:42
Term Loan WUBS AT EUR 3M+;L8708367093;058397330;TM_Industries;In Arrears;Locked;10000,00;9990,83;67193,54;9,17;10,00;13-10-2021 16:31:16;12-10-2021;13-10-2021 17:40:23;06-12-2022 17:50:19;
Term Loan WUBS AT EUR 3M+;L9895702039;158222213;Merlurium;In Arrears;Locked;200000,00;46841,03;103953,98;153158,97;153833,37;13-10-2021 17:38:40;04-10-2021;25-10-2021 01:15:49;06-12-2022 17:50:22;
Term Loan WUBS AT EUR 3M+;L1530270204;376131634;TM_Industries;Closed (Written Off);;100000,00;0,00;0,00;12008,33;12016,66;13-10-2021 17:48:44;11-10-2021;13-10-2021 18:59:18;13-10-2021 19:37:01;13-10-2021 19:37:01
WUBS Installments Loan EUR;L9236894592;376131634;TM_Industries;Closed (Written Off);;100000,00;0,00;0,00;11141,09;11146,65;13-10-2021 18:53:03;11-10-2021;13-10-2021 18:58:31;13-10-2021 19:36:53;13-10-2021 19:36:54
Term Loan WUBS AT EUR 3M+;L7670429952;158222213;Merlurium;In Arrears;Locked;90000,00;90000,00;189566,00;0,00;0,00;13-10-2021 19:26:48;13-10-2021;;06-12-2022 17:50:25;
Term Loan WUBS AT EUR 3M+;L7255568289;376131634;TM_Industries;Closed (Written Off);;100000,00;0,00;0,00;10000,00;10000,00;13-10-2021 19:38:10;13-10-2021;14-10-2021 09:46:52;14-10-2021 11:29:36;14-10-2021 11:29:36
Term Loan WUBS AT EUR 3M+;L2365145402;376131634;TM_Industries;Closed;;100000,00;0,00;0,00;100000,00;100075,00;13-10-2021 20:13:25;04-10-2021;13-10-2021 20:15:20;13-10-2021 20:15:20;13-10-2021 20:15:20
Term Loan WUBS AT EUR 3M+;L2793482797;376131634;TM_Industries;Closed (Written Off);Locked;100000,00;0,00;0,00;0,00;0,00;13-10-2021 20:17:11;05-07-2021;;14-10-2021 11:29:28;14-10-2021 11:29:28
Term Loan WUBS AT EUR 3M+;L2795491455;376131634;TM_Industries;Closed (Written Off);;100000,00;0,00;0,00;40000,00;40080,83;13-10-2021 20:27:44;04-10-2021;14-10-2021 09:51:50;14-10-2021 11:29:22;14-10-2021 11:29:23
Buy Now Pay Later;MARKETBANK-319777;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;69,99;0,00;0,00;0,00;0,00;13-06-2022 18:01:57;;;22-06-2022 16:24:39;22-06-2022 16:24:39
SO Bank BNPL ;863137945;314316158;Pedro Pascal;Approved;;1500,00;0,00;0,00;0,00;0,00;06-03-2023 16:01:13;;;06-03-2023 16:01:12;
Agriculture Loan;URLG178;566221640;John Asmith;Active;;950,00;0,00;0,00;950,00;1026,35;26-01-2022 16:48:37;26-01-2022;26-01-2022 16:50:20;06-12-2022 17:45:31;
Student Loan;AJRF118;099001024;Teste Teste;Active;;10000,00;0,00;0,00;9166,63;13016,67;16-07-2020 16:21:20;18-08-2019;16-07-2020 16:29:02;06-12-2022 17:45:40;
Agriculture Loan;LMXZ489;567783887;Marta Coelho;In Arrears;;950,00;950,00;1147,25;0,00;0,00;18-03-2021 09:54:44;30-03-2021;;06-12-2022 17:45:26;
Agriculture Loan;WCIY202;4;Okeke Jerebinšek;Approved;;900,00;0,00;0,00;0,00;0,00;17-02-2021 15:01:57;;;06-12-2022 17:45:30;
Agriculture Loan;1;1;Kulthoom Nwankwo;Approved;;1150,00;0,00;0,00;0,00;0,00;17-02-2021 15:09:03;;;06-12-2022 17:45:30;
Agriculture Loan;3;3;Nina Quynh;Approved;;800,00;0,00;0,00;0,00;0,00;17-02-2021 15:09:05;;;06-12-2022 17:45:31;
Term Credit - (very) Long Term ;JWHL145;243772958;Carol Amandino;In Arrears;;1500,00;300,00;300,00;0,00;0,00;13-06-2023 15:45:31;13-06-2023;;14-07-2023 00:45:04;
Capitalized Fee test;L00066;00048;Andre Drumond Mateus;Approved;;1145,00;0,00;0,00;0,00;0,00;29-03-2021 18:04:44;;;06-12-2022 17:45:23;
Agriculture Loan;MMVP883;393707091;Ricardo Manel;Approved;;1000,00;0,00;0,00;0,00;0,00;19-07-2021 19:09:34;;;06-12-2022 17:45:30;
Construction Loan;L015;C02;Martim Leitao Reis;Pending Approval;;13111751500,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:36;
Fishermen Group Loan;L021;3;Nina Quynh;Approved;;5000,00;0,00;0,00;0,00;0,00;06-04-2021 12:29:20;;;06-12-2022 17:45:31;
Capitalized Fee test;L017;C04;Andre Drumond Mateus;Approved;;1145,00;0,00;0,00;0,00;0,00;06-04-2021 12:39:30;;;06-12-2022 17:45:23;
Personal Loan;L020;C08;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;06-04-2021 12:39:56;;;06-12-2022 17:45:45;
SO Mortgage Account EURIBOR  - EUR v4;416978420;243772958;Carol Amandino;Active;;50000,00;0,00;0,00;1169,17;1169,17;28-07-2023 14:34:11;28-07-2023;28-07-2023 14:36:14;28-07-2023 14:36:14;
BNPL - Dynamic;MARKETBANK-217172;881857316;Joud  Zaumot;Closed;;69,99;0,00;0,00;69,99;69,99;27-06-2022 16:03:22;27-06-2022;27-06-2022 16:14:28;27-06-2022 16:14:29;27-06-2022 16:14:30
BNPL - Dynamic;MARKETBANK-191088;881857316;Joud  Zaumot;Closed;;69,99;0,00;0,00;69,99;69,99;27-06-2022 19:23:24;27-06-2022;27-06-2022 19:34:16;27-06-2022 19:34:16;27-06-2022 19:34:16
Retail Mortgage;MRTG-RET-NNBJ235;299268506;Client Nuno Faria;Approved;;250000,00;0,00;0,00;0,00;0,00;15-03-2021 13:28:13;;;06-12-2022 17:45:36;
Lohnprodukt;UVOH321;205270106;EmpresaAngelina;Approved;;100,00;0,00;0,00;0,00;0,00;20-02-2023 16:02:13;;;28-02-2023 16:52:04;
smeloan45;UUOM664;205270106;EmpresaAngelina;Approved;;100,00;0,00;0,00;0,00;0,00;27-03-2023 12:13:10;;;27-03-2023 12:13:21;
Agriculture Loan;L00042;00045;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;02-03-2021 17:48:48;;;06-12-2022 17:45:25;
Capitalized Fee test;LZXA343;00046;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;02-03-2021 18:18:15;;;06-12-2022 17:45:20;
Student Loan;L00049;00048;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;02-03-2021 18:20:51;;;06-12-2022 17:45:40;
Fishermen Group Loan;JXTP279;1315;Diogo Miguel Dias;Approved;;800,00;0,00;0,00;0,00;0,00;02-03-2021 18:24:35;;;06-12-2022 17:45:21;
Student Loan;NWQL303;552196744;Jane Doe;Approved;;7000,00;0,00;0,00;0,00;0,00;02-03-2021 18:49:53;;;06-12-2022 17:45:40;
Fishermen Group Loan;NKWL635;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;02-03-2021 18:50:14;;;06-12-2022 17:45:40;
BNPL - Dynamic;MARKETBANK-719913;881857316;Joud  Zaumot;Closed;;69,99;0,00;0,00;69,99;69,99;24-06-2022 14:08:45;24-06-2022;27-06-2022 02:54:38;27-06-2022 02:54:38;27-06-2022 02:54:38
BNPL - Dynamic;MARKETBANK-761606;881857316;Joud  Zaumot;Closed;;139,99;0,00;0,00;139,99;139,99;27-06-2022 10:48:31;27-06-2022;27-06-2022 10:48:33;27-06-2022 14:52:28;27-06-2022 14:52:29
BNPL - Dynamic;MARKETBANK-137393;881857316;Joud  Zaumot;Closed;;69,99;0,00;0,00;69,99;69,99;27-06-2022 16:03:15;27-06-2022;27-06-2022 16:14:18;27-06-2022 16:14:19;27-06-2022 16:14:19
Buy Now Pay Later;MARKETBANK-828638;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;59,99;0,00;0,00;0,00;0,00;13-06-2022 12:56:56;;;22-06-2022 16:23:31;22-06-2022 16:23:31
Student Loan;IMJF383;552196744;Jane Doe;Approved;;7000,00;0,00;0,00;0,00;0,00;02-03-2021 18:50:03;;;06-12-2022 17:45:40;
Student Loan;L00052;00048;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;02-03-2021 18:59:59;;;06-12-2022 17:45:41;
SO Mortgage Account - EUR;448552605;859605806;Angelina Jolie;Closed;;2000,00;0,00;0,00;2000,00;2005,00;27-03-2023 12:34:41;31-03-2023;31-03-2023 12:34:13;31-03-2023 12:34:43;31-03-2023 12:34:44
BNPL - Dynamic;MARKETBANK-336665;MARKETBANK-1;Gil Pinto;Approved;;79,99;0,00;0,00;0,00;0,00;17-06-2022 15:46:24;;;06-12-2022 17:45:22;
Term Credit - (very) Long Term ;VEZZ520;769273359;Maria Pinto;In Arrears;;100,00;0,00;6,28;67,04;67,70;14-06-2023 15:09:56;14-06-2023;15-06-2023 12:52:59;15-07-2023 00:43:37;
Agriculture Loan;LHOC311;830611362;Cotónio Anelho;In Arrears;;950,00;511,08;526,35;438,92;500,00;16-09-2022 15:34:34;16-09-2022;16-09-2022 15:36:24;17-12-2022 00:48:56;
Student Loan;PBXD847;851308720;client test_1;Closed;Withdrawn;10000,00;0,00;0,00;0,00;0,00;16-09-2022 16:28:35;;;16-09-2022 18:05:35;16-09-2022 18:05:35
Term Credit - (very) Long Term ;RYSX060;243772958;Carol Amandino;In Arrears;;5000,00;685,60;1671,90;0,00;0,00;14-06-2023 10:13:48;14-06-2023;;15-07-2023 00:43:30;
